,Unnamed: 0,county,risk,statename,stateAbbrev
155,2880,LosAlamosCounty,38.015161611106,Arkansas,AR
156,2889,MohaveCounty,37.9021503024716,Arkansas,AR
157,2896,YavapaiCounty,37.8664967649339,Arkansas,AR
158,2900,SandovalCounty,37.8216579412235,Arkansas,AR
159,2916,GilaCounty,37.6363200425736,Arkansas,AR
160,2942,ValenciaCounty,37.1776904999562,Arkansas,AR
161,2943,NavajoCounty,37.17571888658721,Arkansas,AR
162,2953,DonaAnaCounty,37.086579364275295,Arkansas,AR
163,2960,EddyCounty,37.048726736608,Arkansas,AR
164,2980,LincolnCounty,36.6971646225957,Arkansas,AR
165,2983,OteroCounty,36.66709893889061,Arkansas,AR
166,2994,SantaCruzCounty,36.5308537575845,Arkansas,AR
167,3021,RioArribaCounty,36.0716488566561,Arkansas,AR
168,3042,LaPazCounty,35.80887299266129,Arkansas,AR
169,3107,LeaCounty,35.040557295963694,Arkansas,AR
170,3508,MercedCounty,65.3967582053892,Arkansas,AR
171,3509,FresnoCounty,65.15616122728578,Arkansas,AR
172,3518,TulareCounty,60.5888602623697,Arkansas,AR
173,3519,VenturaCounty,60.34904239471521,Arkansas,AR
174,3531,FresnoCounty,58.9399676946352,California,CA
175,3532,TulareCounty,58.86951526731529,California,CA
176,3539,VenturaCounty,58.491398127926296,California,CA
177,3543,MercedCounty,58.3087964862183,California,CA
178,3556,KernCounty,57.5216767125842,California,CA
179,3585,SantaBarbaraCounty,56.6157102137102,California,CA
180,3586,KingsCounty,56.596972165099494,California,CA
181,3599,MaderaCounty,56.135943736249,California,CA
182,3698,MariposaCounty,53.6275435885727,California,CA
183,3705,SanLuisObispoCounty,53.445848171997795,California,CA
184,4344,LosAngelesCounty,61.863875282700995,California,CA
185,4960,InyoCounty,49.8940624176477,California,CA
186,6004,MonoCounty,41.2863477648328,California,CA
187,6664,StanislausCounty,61.49704788139071,California,CA
188,6667,SutterCounty,60.1529157774981,California,CA
